105657a1: p=859, n=1, time: 38.8336069584
105657c1: p=859, n=1, time: 55.6905958652
105676a1: p=911, n=1, time: 35.7046070099
105714a1: p=839, n=1, time: 31.2814118862
105714b1: p=839, n=1, time: 33.9647121429
105714d1: p=839, n=1, time: 34.3145029545
105714e1: p=839, n=1, time: 31.979924202
105714i1: p=839, n=1, time: 41.4543550014
105714k1: p=839, n=1, time: 44.371065855
105714m1: p=839, n=1, time: 32.1693639755
105714n1: p=839, n=1, time: 46.6783018112
105714p1: p=839, n=1, time: 41.8115019798
105714t1: p=839, n=1, time: 34.3674759865
105720a1: p=881, n=1, time: 34.4087748528
105720b1: p=881, n=1, time: 34.831895113
