95852b1: p=773, n=1, time: 33.0558338165
95852c1: p=773, n=1, time: 33.8186619282
95886a1: p=761, n=1, time: 38.968421936
95886f1: p=761, n=1, time: 30.2271380424
95886g1: p=761, n=1, time: 37.54468894
95886k1: p=761, n=1, time: 31.3667030334
95886r1: p=761, n=1, time: 31.6181659698
95886s1: p=761, n=1, time: 32.161041975
95982a1: p=941, n=1, time: 52.4386730194
95982b1: p=941, n=1, time: 40.2126019001
95982d1: p=941, n=1, time: 38.0610370636
95982f1: p=941, n=1, time: 30.7838559151
95982h1: p=941, n=1, time: 34.3778560162
95982j1: p=941, n=1, time: 47.3701488972
95982l1: p=941, n=1, time: 33.1908521652
95982m1: p=941, n=1, time: 48.9506418705
95984a1: p=857, n=1, time: 37.3845090866
95984e1: p=857, n=1, time: 30.3344869614
95984j1: p=857, n=1, time: 32.8771328926
95984k1: p=857, n=1, time: 33.1113209724
95984l1: p=857, n=1, time: 32.2348480225
96129b1: p=971, n=1, time: 48.5549788475
